customer_id,customer_name,dob,phone,segment,branch_id,rm_id,record_effective_date,source_update_date
52,Dang Thi/Van Kien,1971-08-15,0924305904,Priority,11,36,2023-10-08,2023-10-08
53,Pham Thi/Van Ha,2001-01-26,0984813739,Mass,12,42,2021-10-17,2021-10-17
54,Tran Thi/Van Son,1970-12-25,0985017682,Upper Mass,8,28,2022-07-23,2022-07-23
55,Bui Thi/Van Yen,2001-07-24,0983534128,Mass,12,42,2024-01-01,2024-01-01
56,Le Thi/Van Thao,1985-03-10,0947220099,Priority,5,16,2024-11-05,2024-11-05
57,Bui Thi/Van Kien,1977-04-27,0941473195,Upper Mass,8,26,2022-01-17,2022-01-17
58,Vu Thi/Van Nam,1989-03-25,0961410126,Mass,2,6,2020-09-17,2020-09-17
59,Pham Thi/Van Chi,1983-08-12,0965804273,Upper Mass,7,24,2019-09-13,2019-09-13
60,Pham Thi/Van Quang,1982-06-22,0987267850,Priority,10,32,2023-04-08,2023-04-08
61,Bui Thi/Van Anh,1980-10-12,0966240084,Priority,5,18,2025-01-13,2025-01-13
62,Do Thi/Van Yen,1974-11-23,0975181765,Mass,8,26,2019-04-29,2019-04-29
63,Dang Thi/Van Nam,1995-01-02,0972732043,Upper Mass,11,39,2020-06-06,2020-06-06
64,Ngo Thi/Van Tuan,1966-03-18,0967527432,Mass,7,22,2020-07-09,2020-07-09
65,Bui Thi/Van Ha,1967-04-04,0971028710,Mass,5,18,2022-08-31,2022-08-31
66,Vu Thi/Van Phuong,1977-06-25,0973123515,Priority,7,24,2019-03-21,2019-03-21
67,Do Thi/Van Binh,1980-09-12,0997477029,Mass,4,14,2019-06-14,2019-06-14
68,Nguyen Thi/Van Kien,1973-12-11,0926941092,Mass,1,5,2024-04-23,2024-04-23
69,Tran Thi/Van Van,1974-10-12,0959512272,Mass,8,28,2020-11-18,2020-11-18
70,Ngo Thi/Van Yen,1998-07-21,0931980274,Priority,12,40,2022-06-28,2022-06-28
71,Tran Thi/Van Van,1966-02-25,0936619372,Mass,5,18,2019-11-08,2019-11-08
72,Ngo Thi/Van Kien,1969-07-28,0990585882,Priority,12,41,2020-05-10,2020-05-10
73,Ngo Thi/Van Binh,1980-07-29,0919255216,Upper Mass,9,30,2024-09-03,2024-09-03
74,Vu Thi/Van Anh,2003-02-10,0958612055,Mass,7,25,2024-02-27,2024-02-27
75,Le Thi/Van Quang,1972-11-25,0946249845,Priority Elite,12,42,2025-01-13,2025-01-13
76,Bui Thi/Van Son,1984-07-16,0942949803,Mass,12,42,2019-12-21,2019-12-21
77,Hoang Thi/Van Son,1975-12-10,0960867083,Upper Mass,8,28,2022-10-09,2022-10-09
78,Nguyen Thi/Van Thao,2003-03-05,0957623800,Mass,6,19,2021-11-24,2021-11-24
79,Vu Thi/Van Linh,2004-06-28,0979340535,Upper Mass,10,34,2021-02-21,2021-02-21
80,Tran Thi/Van Kien,1997-04-20,0942255732,Upper Mass,7,25,2024-05-04,2024-05-04
81,Bui Thi/Van Son,2000-07-27,0964277800,,1,1,2021-09-23,2021-09-23
82,Hoang Thi/Van Van,1981-07-22,0967110154,Upper Mass,8,28,2025-03-04,2025-03-04
83,Vu Thi/Van Oanh,1996-07-12,0940942292,Mass,8,27,2020-05-09,2020-05-09
84,Pham Thi/Van Nam,1970-05-13,0934850391,Priority Elite,12,42,2021-02-23,2021-02-23
85,Pham Thi/Van Thao,1977-05-28,0980415568,Priority Elite,12,42,2022-03-05,2022-03-05
86,Tran Thi/Van Huong,1978-04-16,0911898961,Mass,4,13,2024-12-27,2024-12-27
87,Le Thi/Van Linh,1967-01-16,0926948946,Mass,1,5,2024-07-03,2024-07-03
88,Tran Thi/Van Anh,1990-10-02,0955728776,Mass,5,18,2021-01-25,2021-01-25
89,Nguyen Thi/Van Linh,2003-08-28,0963782042,Priority,8,26,2024-07-07,2024-07-07
90,Tran Thi/Van Van,1993-03-27,0985543051,Mass,11,36,2022-05-29,2022-05-29
91,Tran Thi/Van Kien,1970-04-25,0993002706,Upper Mass,9,30,2021-07-13,2021-07-13
92,Do Thi/Van Phuong,1985-03-18,0967556566,Priority,8,27,2022-06-04,2022-06-04
93,Ngo Thi/Van Yen,1967-09-14,0937888820,Priority Elite,10,32,2021-05-14,2021-05-14
94,Hoang Thi/Van Chi,1972-01-18,0931009452,Upper Mass,4,12,2019-01-11,2019-01-11
95,Dang Thi/Van Son,1995-12-04,0941068214,Mass,10,35,2022-03-26,2022-03-26
96,Hoang Thi/Van Son,1968-03-12,0993893865,Priority,11,37,2021-03-21,2021-03-21
97,Dang Thi/Van Dung,1989-06-06,0945652586,Mass,4,14,2020-08-05,2020-08-05
98,Tran Thi/Van Binh,1972-06-11,0972907576,Mass,5,17,2022-05-30,2022-05-30
99,Dang Thi/Van Linh,1987-06-14,0990267122,Mass,9,30,2019-06-13,2019-06-13
100,Dang Thi/Van Nam,1992-01-31,0987201917,Mass,5,15,2019-03-26,2019-03-26
101,Hoang Thi/Van Van,1966-10-22,0969355025,Upper Mass,3,10,2022-02-13,2022-02-13
102,Le Thi/Van Van,1984-07-21,0973083727,Priority Elite,11,39,2022-11-26,2022-11-26
103,Dang Thi/Van Nam,1979-05-28,0954265498,Priority,11,36,2023-08-14,2023-08-14
104,Bui Thi/Van Minh,1994-09-21,0952213778,Mass,7,22,2021-10-30,2021-10-30
105,Vu Thi/Van Dung,1999-08-28,0982825679,Upper Mass,7,22,2024-03-07,2024-03-07
106,Dang Thi/Van Binh,1973-06-01,0976906611,Upper Mass,9,30,2023-12-16,2023-12-16
107,Nguyen Thi/Van Huong,1976-12-24,0968802946,Priority,9,29,2024-06-08,2024-06-08
108,Tran Thi/Van Anh,1993-04-06,0951708177,Upper Mass,10,33,2025-03-06,2025-03-06
109,Nguyen Thi/Van Tuan,1983-04-21,0925228493,Priority Elite,2,6,2024-03-05,2024-03-05
110,Tran Thi/Van Giang,1987-05-11,0946698468,Upper Mass,12,41,2023-08-29,2023-08-29
111,Bui Thi/Van Thao,1975-12-08,0935583290,Mass,8,28,2024-09-12,2024-09-12
112,Le Thi/Van Chi,1977-05-24,0978147397,Priority Elite,7,24,2021-12-30,2021-12-30
113,Nguyen Thi/Van Minh,1997-07-27,0969934576,Priority,5,18,2025-01-15,2025-01-15
114,Bui Thi/Van Oanh,1979-11-30,0953188224,Mass,9,31,2021-02-11,2021-02-11
115,Pham Thi/Van Van,1982-03-07,0973481797,Mass,4,13,2023-04-11,2023-04-11
116,Dang Thi/Van Giang,1987-03-22,0989212676,Upper Mass,1,2,2022-09-21,2022-09-21
117,Tran Thi/Van Son,1969-06-22,0929348212,Mass,9,30,2023-08-07,2023-08-07
118,Le Thi/Van Chi,1986-01-23,0963349308,Upper Mass,5,17,2019-11-25,2019-11-25
119,Vu Thi/Van Tuan,1982-01-18,0975491202,Upper Mass,6,21,2025-01-25,2025-01-25
120,Nguyen Thi/Van Yen,1968-01-27,0948571356,Upper Mass,4,14,2021-07-20,2021-07-20
121,Tran Thi/Van Quang,1969-06-01,0950193656,Mass,11,36,2019-04-29,2019-04-29
122,Nguyen Thi/Van Nam,2000-09-18,0967805802,Mass,1,3,2020-08-19,2020-08-19
123,Pham Thi/Van Trang,1983-06-27,0920598952,Mass,10,33,2023-04-16,2023-04-16
124,Ngo Thi/Van Kien,1987-04-29,0995618110,Mass,10,33,2021-11-06,2021-11-06
125,Bui Thi/Van Linh,1994-11-30,0983363160,Priority,1,4,2020-10-09,2020-10-09
126,Tran Thi/Van Son,1980-07-02,0966949781,Upper Mass,10,34,2021-10-21,2021-10-21
127,Bui Thi/Van Minh,1973-12-08,0961185849,Mass,7,25,2025-05-31,2025-05-31
128,Vu Thi/Van Van,1978-04-10,0998346110,Mass,12,41,2023-06-10,2023-06-10
129,Hoang Thi/Van Anh,1990-05-22,0976669607,Priority,11,36,2022-03-18,2022-03-18
130,Pham Thi/Van Yen,2000-12-21,0993334601,Upper Mass,6,19,2021-10-23,2021-10-23
131,Le Thi/Van Dung,1993-02-23,0969166287,Mass,11,36,2019-05-17,2019-05-17
132,Ngo Thi/Van Oanh,1997-11-07,0953851498,Priority,3,9,2023-08-29,2023-08-29
133,Le Thi/Van Huong,1970-12-06,0946578001,Upper Mass,9,30,2020-11-04,2020-11-04
134,Hoang Thi/Van Thao,2001-03-06,0972858374,Priority,5,17,2019-11-05,2019-11-05
135,Le Thi/Van Kien,2003-08-02,0984801233,Priority Elite,11,39,2023-02-07,2023-02-07
136,Tran Thi/Van Phuong,1965-08-17,0945186708,Mass,5,15,2025-07-22,2025-07-22
137,Dang Thi/Van Oanh,1969-11-11,0993154172,Mass,11,37,2025-04-18,2025-04-18
138,Vu Thi/Van Yen,1974-12-06,0972312933,Upper Mass,11,36,2022-05-22,2022-05-22
139,Dang Thi/Van Dung,1971-04-10,0976118957,Mass,1,1,2020-04-20,2020-04-20
140,Tran Thi/Van Kien,2004-10-19,0959796322,Mass,9,29,2025-01-21,2025-01-21
141,Dang Thi/Van Van,1998-04-19,0997902129,Priority,12,40,2020-02-10,2020-02-10
142,Bui Thi/Van Yen,1983-04-23,0939161443,Upper Mass,5,15,2023-12-22,2023-12-22
143,Bui Thi/Van Kien,2003-05-17,0959302863,Priority Elite,6,19,2025-02-08,2025-02-08
144,Vu Thi/Van Binh,1982-11-11,0971031132,Priority Elite,5,16,2020-01-11,2020-01-11
145,Pham Thi/Van Yen,1965-12-16,0926901217,Mass,1,3,2025-05-01,2025-05-01
146,Pham Thi/Van Chi,2002-03-23,0941272553,Upper Mass,9,29,2022-09-07,2022-09-07
147,Le Thi/Van Yen,1965-02-16,0982506491,Priority Elite,5,16,2021-10-23,2021-10-23
148,Le Thi/Van Dung,1994-08-27,0941934639,Mass,1,2,2022-08-19,2022-08-19
149,Nguyen Thi/Van Ha,1976-11-26,0980610004,Upper Mass,1,2,2020-04-10,2020-04-10
150,Tran Thi/Van Thao,1985-02-09,0970667140,Upper Mass,6,21,2024-08-25,2024-08-25
151,Pham Thi/Van Yen,1966-12-12,0971477426,,12,42,2019-05-08,2019-05-08
152,Nguyen Thi/Van Thao,2003-01-04,0975802771,Upper Mass,7,25,2023-12-22,2023-12-22
153,Tran Thi/Van Chi,1979-06-14,0946912022,Mass,10,33,2025-07-25,2025-07-25
154,Do Thi/Van Nam,1982-02-01,0991259008,Mass,10,34,2023-10-29,2023-10-29
155,Tran Thi/Van Dung,2003-04-04,0940667888,Mass,11,37,2023-08-22,2023-08-22
156,Vu Thi/Van Son,1982-11-20,0951946203,Mass,7,22,2021-11-10,2021-11-10
157,Vu Thi/Van Giang,1995-10-23,0921457410,Mass,8,26,2020-01-17,2020-01-17
158,Dang Thi/Van Dung,1998-05-27,0984674816,Priority,12,41,2019-09-03,2019-09-03
159,Ngo Thi/Van Tuan,1990-03-13,0957459130,Mass,6,21,2023-09-29,2023-09-29
160,Nguyen Thi/Van Minh,1991-12-08,0978103759,Mass,5,17,2021-05-21,2021-05-21
161,Le Thi/Van Thao,1975-01-23,0959333209,Priority,2,7,2020-04-15,2020-04-15
162,Hoang Thi/Van Van,1975-02-23,0998292612,Upper Mass,7,22,2021-12-31,2021-12-31
163,Nguyen Thi/Van Ha,1977-04-05,0957113566,Priority,12,41,2019-01-26,2019-01-26
164,Le Thi/Van Giang,1990-05-28,0994982908,Mass,11,39,2019-05-06,2019-05-06
165,Tran Thi/Van Trang,1974-08-26,0931127115,Mass,7,25,2023-02-24,2023-02-24
166,Hoang Thi/Van Nam,1999-11-06,0930881581,Priority,10,32,2020-10-06,2020-10-06
167,Ngo Thi/Van Binh,1995-03-27,0966910299,Mass,2,7,2024-06-12,2024-06-12
168,Ngo Thi/Van Son,1983-07-31,0925276327,Priority,5,16,2022-11-14,2022-11-14
169,Dang Thi/Van Dung,1977-09-15,0951395350,Upper Mass,11,39,2019-07-06,2019-07-06
170,Pham Thi/Van Phuong,1991-11-20,0938351344,Mass,1,1,2020-07-16,2020-07-16
171,Hoang Thi/Van Minh,1979-09-20,0967801537,Mass,2,6,2020-12-20,2020-12-20
172,Le Thi/Van Phuong,1988-11-21,0999663907,Upper Mass,12,40,2022-12-21,2022-12-21
173,Tran Thi/Van Phuong,2003-08-29,0971707170,Mass,12,40,2019-11-15,2019-11-15
174,Vu Thi/Van Van,1984-04-04,0966061934,Upper Mass,10,35,2022-03-31,2022-03-31
175,Tran Thi/Van Phuong,1965-12-08,0992963368,Priority,6,19,2024-02-28,2024-02-28
176,Vu Thi/Van Chi,1984-08-04,0963747464,Mass,2,6,2024-11-16,2024-11-16
177,Tran Thi/Van Phuong,2004-01-19,0932566390,Mass,5,17,2019-11-09,2019-11-09
178,Do Thi/Van Dung,1988-10-20,0956892354,Priority,9,29,2022-12-09,2022-12-09
179,Le Thi/Van Kien,1969-08-12,0990852623,Mass,3,10,2020-09-18,2020-09-18
180,Tran Thi/Van Ha,1999-09-02,0985663295,Mass,11,39,2025-07-01,2025-07-01
181,Bui Thi/Van Van,1993-11-04,0994183695,Priority,11,38,2022-07-18,2022-07-18
182,Le Thi/Van Son,1968-01-24,0946866075,Upper Mass,8,27,2019-08-19,2019-08-19
183,Vu Thi/Van Trang,1968-04-30,0917635653,Mass,5,18,2023-02-19,2023-02-19
184,Hoang Thi/Van Chi,1993-12-02,0961604364,Upper Mass,2,8,2024-03-10,2024-03-10
185,Ngo Thi/Van Tuan,2000-07-09,0986726461,Mass,12,40,2021-02-10,2021-02-10
186,Vu Thi/Van Yen,1986-05-03,0970468188,Priority Elite,9,29,2020-02-28,2020-02-28
187,Vu Thi/Van Chi,1987-08-20,0968754920,Mass,11,37,2023-12-05,2023-12-05
188,Do Thi/Van Trang,1992-05-10,0947969333,Mass,3,10,2023-05-06,2023-05-06
189,Dang Thi/Van Nam,1995-06-16,0996879854,Priority,10,32,2022-10-02,2022-10-02
190,Tran Thi/Van Nam,1969-03-29,0943822301,Mass,9,31,2020-09-07,2020-09-07
191,Vu Thi/Van Chi,1991-02-21,0951638598,Priority,11,37,2023-05-25,2023-05-25
192,Le Thi/Van Yen,1996-10-18,0996368203,Upper Mass,2,7,2022-09-07,2022-09-07
193,Le Thi/Van Trang,1969-03-12,0912446861,Upper Mass,11,39,2023-01-25,2023-01-25
194,Hoang Thi/Van Ha,1974-08-11,0928463709,Mass,6,20,2020-09-26,2020-09-26
195,Tran Thi/Van Minh,2002-11-18,0980669879,Priority,2,8,2019-06-04,2019-06-04
196,Vu Thi/Van Yen,1970-11-18,0934272734,Mass,10,35,2020-11-09,2020-11-09
197,Bui Thi/Van Binh,1983-06-07,0969619341,Upper Mass,6,21,2022-03-13,2022-03-13
198,Bui Thi/Van Kien,1988-12-15,0972950208,Priority Elite,4,13,2021-03-05,2021-03-05
199,Vu Thi/Van Van,1984-10-06,0977498993,Priority,8,27,2024-11-30,2024-11-30
200,Dang Thi/Van Ha,2001-08-23,0943554863,Mass,4,14,2019-08-02,2019-08-02
201,Bui Thi/Van Oanh,1989-11-16,0926733967,Priority,2,8,2022-03-13,2022-03-13
202,Tran Thi/Van Ha,1977-03-28,0968716573,Mass,8,28,2020-01-11,2020-01-11
203,Pham Thi/Van Son,2004-09-06,0963211150,Mass,6,19,2024-08-18,2024-08-18
204,Vu Thi/Van Kien,1982-04-28,0952773159,Mass,2,7,2020-02-10,2020-02-10
205,Vu Thi/Van Giang,1971-03-05,0973411827,Priority,1,3,2020-07-22,2020-07-22
206,Bui Thi/Van Son,1992-08-08,0938944689,Mass,1,1,2020-09-04,2020-09-04
207,Do Thi/Van Yen,1988-09-04,0941895531,Priority,7,22,2022-05-18,2022-05-18
208,Tran Thi/Van Binh,1975-09-12,0977085942,Mass,7,25,2025-01-04,2025-01-04
209,Nguyen Thi/Van Trang,1990-10-18,0967611469,Mass,4,14,2019-01-07,2019-01-07
210,Ngo Thi/Van Oanh,1975-10-17,0999686286,Mass,10,35,2019-12-17,2019-12-17
211,Do Thi/Van Oanh,1968-01-14,0978131950,Upper Mass,9,31,2025-03-19,2025-03-19
212,Nguyen Thi/Van Phuong,2004-03-05,0960103798,Upper Mass,8,26,2021-11-04,2021-11-04
213,Nguyen Thi/Van Oanh,2000-05-16,0998195059,Mass,2,7,2020-02-29,2020-02-29
214,Ngo Thi/Van Nam,1970-12-26,0996274567,Upper Mass,1,3,2020-12-18,2020-12-18
215,Bui Thi/Van Thao,1993-05-04,0971428713,Mass,3,9,2019-06-01,2019-06-01
216,Hoang Thi/Van Huong,1966-12-19,0951617680,Mass,4,12,2024-10-12,2024-10-12
217,Dang Thi/Van Tuan,1986-03-28,0935649468,Priority,5,15,2022-03-17,2022-03-17
218,Vu Thi/Van Binh,2003-11-03,0959394697,Mass,11,38,2023-11-25,2023-11-25
219,Dang Thi/Van Son,1982-05-06,0976776459,Mass,6,19,2023-02-13,2023-02-13
220,Do Thi/Van Linh,2000-12-09,0967795113,Mass,2,8,2021-01-09,2021-01-09
221,Do Thi/Van Minh,1979-05-30,0949680122,Mass,2,6,2022-06-09,2022-06-09
222,Bui Thi/Van Yen,1997-03-12,0957183837,Upper Mass,7,23,2024-01-06,2024-01-06
223,Nguyen Thi/Van Oanh,1992-07-31,0917698469,Upper Mass,7,24,2019-11-04,2019-11-04
224,Dang Thi/Van Oanh,1988-01-07,0914179623,Mass,12,42,2020-08-07,2020-08-07
225,Ngo Thi/Van Son,1966-07-25,0996592295,Mass,3,9,2023-02-09,2023-02-09
226,Vu Thi/Van Phuong,1990-06-12,0970387584,Mass,1,5,2023-02-28,2023-02-28
227,Vu Thi/Van Son,1999-03-26,0959251188,Mass,2,8,2023-06-19,2023-06-19
228,Vu Thi/Van Linh,1976-03-13,0976980546,Upper Mass,2,6,2024-10-21,2024-10-21
229,Dang Thi/Van Tuan,1970-04-14,0938799154,Upper Mass,5,17,2022-03-15,2022-03-15
230,Bui Thi/Van Huong,1970-07-03,0969741812,Mass,3,9,2019-12-26,2019-12-26
231,Vu Thi/Van Oanh,1996-10-30,0950259503,Upper Mass,2,8,2020-10-07,2020-10-07
232,Le Thi/Van Oanh,1987-10-28,0928639738,Priority Elite,4,12,2021-08-27,2021-08-27
233,Bui Thi/Van Anh,1981-03-10,0984040798,Mass,9,31,2020-06-15,2020-06-15
234,Ngo Thi/Van Chi,1967-12-14,0974245343,Priority Elite,5,18,2024-11-23,2024-11-23
235,Dang Thi/Van Quang,2001-12-07,0952550733,Mass,10,32,2019-10-31,2019-10-31
236,Bui Thi/Van Son,1995-07-05,0983994695,Mass,9,30,2021-01-15,2021-01-15
237,Le Thi/Van Quang,1987-07-23,0950818905,Upper Mass,1,1,2020-11-05,2020-11-05
238,Le Thi/Van Nam,1996-10-26,0979645282,Priority Elite,4,13,2022-03-09,2022-03-09
239,Tran Thi/Van Linh,1973-10-22,0950644430,Mass,11,38,2024-12-25,2024-12-25
240,Tran Thi/Van Trang,1993-10-02,0930695604,Priority Elite,3,11,2020-12-02,2020-12-02
241,Ngo Thi/Van Yen,1980-02-23,0913808225,Priority,10,32,2019-11-29,2019-11-29
242,Nguyen Thi/Van Van,1976-11-15,,Priority,11,37,2019-05-05,2019-05-05
243,Bui Thi/Van Tuan,1977-12-29,0964504816,Mass,11,38,2022-05-03,2022-05-03
244,Bui Thi/Van Chi,1995-11-22,0974995086,Mass,1,2,2024-03-17,2024-03-17
245,Pham Thi/Van Nam,1992-03-19,0952857920,Priority,3,10,2022-11-15,2022-11-15
246,Dang Thi/Van Giang,1999-02-14,0952831009,Upper Mass,6,21,2021-09-17,2021-09-17
247,Bui Thi/Van Dung,1976-12-31,0916792127,Mass,8,26,2022-04-03,2022-04-03
248,Dang Thi/Van Yen,1983-10-04,0987535841,Priority,4,12,2022-07-04,2022-07-04
249,Pham Thi/Van Ha,1987-05-09,0951411602,Mass,9,30,2024-07-30,2024-07-30
250,Nguyen Thi/Van Chi,1982-08-22,0938876195,Priority Elite,9,30,2025-07-17,2025-07-17
251,Vu Thi/Van Binh,1967-04-09,0997813295,Upper Mass,5,18,2024-04-11,2024-04-11
252,Hoang Thi/Van Tuan,1965-05-14,0945496951,Mass,2,7,2023-02-07,2023-02-07
253,Dang Thi/Van Oanh,1967-01-12,0936126192,Upper Mass,7,22,2023-01-24,2023-01-24
254,Do Thi/Van Minh,1968-04-19,0947543473,Priority,7,25,2020-05-01,2020-05-01
255,Le Thi/Van Dung,1982-09-02,0959070856,Upper Mass,6,20,2020-08-13,2020-08-13
256,Pham Thi/Van Yen,1987-11-03,0928392710,Mass,7,22,2022-09-26,2022-09-26
257,Bui Thi/Van Trang,1985-07-02,0928761086,Priority,3,11,2022-09-05,2022-09-05
258,Ngo Thi/Van Nam,1972-04-16,0978090664,Upper Mass,7,24,2024-09-18,2024-09-18
259,Do Thi/Van Thao,1996-10-16,0912232974,Mass,10,34,2023-02-17,2023-02-17
260,Vu Thi/Van Dung,1983-09-08,0994457912,Priority,10,34,2019-04-20,2019-04-20
261,Ngo Thi/Van Thao,1976-11-29,0988319168,Upper Mass,11,37,2024-05-21,2024-05-21
262,Le Thi/Van Trang,1993-03-20,0961028283,Priority,12,42,2020-08-28,2020-08-28
263,Pham Thi/Van Binh,1990-09-07,0969195194,Mass,12,40,2022-07-08,2022-07-08
264,Dang Thi/Van Giang,1983-07-11,0992071195,Mass,12,40,2024-04-15,2024-04-15
265,Nguyen Thi/Van Giang,1988-04-08,0998882576,Mass,4,14,2024-05-13,2024-05-13
266,Do Thi/Van Phuong,1979-01-28,0955946354,Priority,3,10,2025-02-15,2025-02-15
267,Vu Thi/Van Linh,1992-05-14,0947447604,Priority Elite,8,26,2025-04-04,2025-04-04
268,Hoang Thi/Van Kien,1978-05-09,0975632882,Upper Mass,5,16,2022-07-22,2022-07-22
269,Bui Thi/Van Oanh,1990-02-22,0986970753,Mass,12,41,2025-02-02,2025-02-02
270,Dang Thi/Van Phuong,2001-09-17,0948605090,Mass,6,19,2019-11-20,2019-11-20
271,Vu Thi/Van Son,1994-06-05,0982286705,Mass,5,18,2022-01-15,2022-01-15
272,Do Thi/Van Linh,1971-02-28,0942115895,Upper Mass,2,8,2021-09-20,2021-09-20
273,Nguyen Thi/Van Trang,1975-02-15,0965472370,Mass,11,37,2022-09-14,2022-09-14
274,Bui Thi/Van Dung,1995-07-23,0931198492,Priority Elite,3,9,2023-07-25,2023-07-25
275,Bui Thi/Van Thao,1994-03-08,0996690951,Mass,4,13,2019-08-31,2019-08-31
276,Tran Thi/Van Van,1975-06-02,0915006085,Upper Mass,9,31,2020-12-18,2020-12-18
277,Dang Thi/Van Ha,1966-08-19,0948851599,Mass,7,25,2019-06-03,2019-06-03
